layer                                     name  gradient   parameters                shape         mu      sigma
   36                  model.6.cv1.conv.weight     False        16384     [128, 128, 1, 1]   -0.00819     0.0551 torch.float32
   37                    model.6.cv1.bn.weight     False          128                [128]      0.848      0.186 torch.float32
   38                      model.6.cv1.bn.bias     False          128                [128]     -0.128      0.955 torch.float32
   39                  model.6.cv2.conv.weight     False        24576     [128, 192, 1, 1]    -0.0045     0.0529 torch.float32
   40                    model.6.cv2.bn.weight     False          128                [128]      0.841      0.157 torch.float32
   41                      model.6.cv2.bn.bias     False          128                [128]     -0.452      0.984 torch.float32
   42              model.6.m.0.cv1.conv.weight     False         2048       [32, 64, 1, 1]   -0.00279     0.0611 torch.float32
   43                model.6.m.0.cv1.bn.weight     False           32                 [32]      0.537      0.138 torch.float32
   44                  model.6.m.0.cv1.bn.bias     False           32                 [32]      0.505       0.76 torch.float32
   45              model.6.m.0.cv2.conv.weight     False         2048       [32, 64, 1, 1]   -0.00824     0.0491 torch.float32
   46                model.6.m.0.cv2.bn.weight     False           32                 [32]       1.16       0.19 torch.float32
   47                  model.6.m.0.cv2.bn.bias     False           32                 [32]    -0.0512      0.696 torch.float32
   48              model.6.m.0.cv3.conv.weight     False         4096       [64, 64, 1, 1]   -0.00777      0.055 torch.float32
   49                model.6.m.0.cv3.bn.weight     False           64                 [64]      0.969      0.264 torch.float32
   50                  model.6.m.0.cv3.bn.bias     False           64                 [64]     -0.248      0.879 torch.float32
   51          model.6.m.0.m.0.cv1.conv.weight     False         9216       [32, 32, 3, 3]   -0.00639     0.0505 torch.float32
   52            model.6.m.0.m.0.cv1.bn.weight     False           32                 [32]       1.02      0.156 torch.float32
   53              model.6.m.0.m.0.cv1.bn.bias     False           32                 [32]      -1.15      0.923 torch.float32
   54          model.6.m.0.m.0.cv2.conv.weight     False         9216       [32, 32, 3, 3]   -0.00601     0.0499 torch.float32
   55            model.6.m.0.m.0.cv2.bn.weight     False           32                 [32]      0.764      0.176 torch.float32
   56              model.6.m.0.m.0.cv2.bn.bias     False           32                 [32]      0.364      0.512 torch.float32
   57          model.6.m.0.m.1.cv1.conv.weight     False         9216       [32, 32, 3, 3]   -0.00449     0.0523 torch.float32
   58            model.6.m.0.m.1.cv1.bn.weight     False           32                 [32]      0.893       0.13 torch.float32
   59              model.6.m.0.m.1.cv1.bn.bias     False           32                 [32]     -0.815      0.859 torch.float32
   60          model.6.m.0.m.1.cv2.conv.weight     False         9216       [32, 32, 3, 3]   -0.00117     0.0506 torch.float32
   61            model.6.m.0.m.1.cv2.bn.weight     False           32                 [32]        1.2      0.226 torch.float32
   62              model.6.m.0.m.1.cv2.bn.bias     False           32                 [32]       1.51       0.78 torch.float32
   63                      model.7.conv.weight     False       294912     [256, 128, 3, 3]   -0.00157     0.0396 torch.float32
   64                        model.7.bn.weight     False          256                [256]      0.928      0.162 torch.float32
   65                          model.7.bn.bias     False          256                [256]     -0.753       0.78 torch.float32
   66                  model.8.cv1.conv.weight     False        65536     [256, 256, 1, 1]   -0.00645     0.0408 torch.float32
   67                    model.8.cv1.bn.weight     False          256                [256]       1.09      0.163 torch.float32
   68                      model.8.cv1.bn.bias     False          256                [256]     -0.363       0.76 torch.float32
   69                  model.8.cv2.conv.weight     False        98304     [256, 384, 1, 1]   -0.00743     0.0382 torch.float32
   70                    model.8.cv2.bn.weight     False          256                [256]       1.22      0.226 torch.float32
   71                      model.8.cv2.bn.bias     False          256                [256]     -0.234      0.758 torch.float32
   72              model.8.m.0.cv1.conv.weight     False         8192      [64, 128, 1, 1]   -0.00704     0.0448 torch.float32
   73                model.8.m.0.cv1.bn.weight     False           64                 [64]      0.672       0.18 torch.float32
   74                  model.8.m.0.cv1.bn.bias     False           64                 [64]     0.0175      0.793 torch.float32
   75              model.8.m.0.cv2.conv.weight     False         8192      [64, 128, 1, 1]     -0.012     0.0302 torch.float32
   76                model.8.m.0.cv2.bn.weight     False           64                 [64]      0.894     0.0915 torch.float32
   77                  model.8.m.0.cv2.bn.bias     False           64                 [64]     -0.406      0.506 torch.float32
   78              model.8.m.0.cv3.conv.weight     False        16384     [128, 128, 1, 1]   -0.00787      0.038 torch.float32
   79                model.8.m.0.cv3.bn.weight     False          128                [128]       1.35      0.222 torch.float32
   80                  model.8.m.0.cv3.bn.bias     False          128                [128]     -0.328      0.701 torch.float32
   81          model.8.m.0.m.0.cv1.conv.weight     False        36864       [64, 64, 3, 3]    -0.0043     0.0378 torch.float32
   82            model.8.m.0.m.0.cv1.bn.weight     False           64                 [64]       1.19      0.137 torch.float32
   83              model.8.m.0.m.0.cv1.bn.bias     False           64                 [64]     -0.957      0.874 torch.float32
   84          model.8.m.0.m.0.cv2.conv.weight     False        36864       [64, 64, 3, 3]   -0.00365     0.0388 torch.float32
   85            model.8.m.0.m.0.cv2.bn.weight     False           64                 [64]       1.05      0.285 torch.float32
   86              model.8.m.0.m.0.cv2.bn.bias     False           64                 [64]      -0.47      0.704 torch.float32
   87          model.8.m.0.m.1.cv1.conv.weight     False        36864       [64, 64, 3, 3]   -0.00607     0.0394 torch.float32
   88            model.8.m.0.m.1.cv1.bn.weight     False           64                 [64]        1.2      0.196 torch.float32
   89              model.8.m.0.m.1.cv1.bn.bias     False           64                 [64]     -0.746      0.866 torch.float32
   90          model.8.m.0.m.1.cv2.conv.weight     False        36864       [64, 64, 3, 3]   -0.00234     0.0388 torch.float32
   91            model.8.m.0.m.1.cv2.bn.weight     False           64                 [64]       1.78      0.308 torch.float32
   92              model.8.m.0.m.1.cv2.bn.bias     False           64                 [64]      0.379      0.734 torch.float32
   93                  model.9.cv1.conv.weight     False        32768     [128, 256, 1, 1]    -0.0127     0.0442 torch.float32
   94                    model.9.cv1.bn.weight     False          128                [128]       1.01      0.219 torch.float32
   95                      model.9.cv1.bn.bias     False          128                [128]       1.09      0.685 torch.float32
   96                  model.9.cv2.conv.weight     False       131072     [256, 512, 1, 1]   -0.00078      0.043 torch.float32
   97                    model.9.cv2.bn.weight     False          256                [256]       0.96      0.227 torch.float32
   98                      model.9.cv2.bn.bias     False          256                [256]     -0.929      0.911 torch.float32
   99                 model.10.cv1.conv.weight     False        65536     [256, 256, 1, 1]   -0.00636     0.0435 torch.float32
  100                   model.10.cv1.bn.weight     False          256                [256]       1.33      0.305 torch.float32
  101                     model.10.cv1.bn.bias     False          256                [256]     -0.352      0.775 torch.float32
  102                 model.10.cv2.conv.weight     False        65536     [256, 256, 1, 1]   -0.00708     0.0411 torch.float32
  103                   model.10.cv2.bn.weight     False          256                [256]      0.931      0.205 torch.float32
  104                     model.10.cv2.bn.bias     False          256                [256]     -0.992      0.753 torch.float32
  105        model.10.m.0.attn.qkv.conv.weight     False        32768     [256, 128, 1, 1]   0.000671     0.0395 torch.float32
  106          model.10.m.0.attn.qkv.bn.weight     False          256                [256]      0.854      0.386 torch.float32
  107            model.10.m.0.attn.qkv.bn.bias     False          256                [256]    -0.0146      0.653 torch.float32
  108       model.10.m.0.attn.proj.conv.weight     False        16384     [128, 128, 1, 1]    0.00031     0.0395 torch.float32
  109         model.10.m.0.attn.proj.bn.weight     False          128                [128]      0.792      0.172 torch.float32
  110           model.10.m.0.attn.proj.bn.bias     False          128                [128]    -0.0858      0.653 torch.float32
  111         model.10.m.0.attn.pe.conv.weight     False         1152       [128, 1, 3, 3]    -0.0105     0.0588 torch.float32
  112           model.10.m.0.attn.pe.bn.weight     False          128                [128]      0.992      0.231 torch.float32
  113             model.10.m.0.attn.pe.bn.bias     False          128                [128]      -0.11      0.691 torch.float32
  114           model.10.m.0.ffn.0.conv.weight     False        32768     [256, 128, 1, 1]   -0.00266     0.0321 torch.float32
  115             model.10.m.0.ffn.0.bn.weight     False          256                [256]       1.22      0.119 torch.float32
  116               model.10.m.0.ffn.0.bn.bias     False          256                [256]     -0.801      0.589 torch.float32
  117           model.10.m.0.ffn.1.conv.weight     False        32768     [128, 256, 1, 1]    0.00537       0.03 torch.float32
  118             model.10.m.0.ffn.1.bn.weight     False          128                [128]      0.529      0.143 torch.float32
  119               model.10.m.0.ffn.1.bn.bias     False          128                [128]    -0.0758      0.584 torch.float32
  120                 model.13.cv1.conv.weight     False        49152     [128, 384, 1, 1]   -0.00517     0.0463 torch.float32
  121                   model.13.cv1.bn.weight     False          128                [128]      0.883      0.289 torch.float32
  122                     model.13.cv1.bn.bias     False          128                [128]     -0.248      0.929 torch.float32
  123                 model.13.cv2.conv.weight     False        24576     [128, 192, 1, 1]   -0.00647     0.0505 torch.float32
  124                   model.13.cv2.bn.weight     False          128                [128]      0.765      0.181 torch.float32
  125                     model.13.cv2.bn.bias     False          128                [128]     -0.457      0.799 torch.float32
  126             model.13.m.0.cv1.conv.weight     False        18432       [32, 64, 3, 3]   -0.00588     0.0487 torch.float32
  127               model.13.m.0.cv1.bn.weight     False           32                 [32]       0.81      0.212 torch.float32
  128                 model.13.m.0.cv1.bn.bias     False           32                 [32]     -0.447      0.749 torch.float32
  129             model.13.m.0.cv2.conv.weight     False        18432       [64, 32, 3, 3]   -0.00378     0.0483 torch.float32
  130               model.13.m.0.cv2.bn.weight     False           64                 [64]       1.15      0.187 torch.float32
  131                 model.13.m.0.cv2.bn.bias     False           64                 [64]      0.865      0.774 torch.float32
  132                 model.16.cv1.conv.weight     False        16384      [64, 256, 1, 1]   -0.00476     0.0534 torch.float32
  133                   model.16.cv1.bn.weight     False           64                 [64]      0.692      0.241 torch.float32
  134                     model.16.cv1.bn.bias     False           64                 [64]      0.181       1.16 torch.float32
  135                 model.16.cv2.conv.weight     False         6144       [64, 96, 1, 1]   -0.00501     0.0564 torch.float32
  136                   model.16.cv2.bn.weight     False           64                 [64]      0.783      0.265 torch.float32
  137                     model.16.cv2.bn.bias     False           64                 [64]    -0.0764       1.11 torch.float32
  138             model.16.m.0.cv1.conv.weight     False         4608       [16, 32, 3, 3]   -0.00481     0.0515 torch.float32
  139               model.16.m.0.cv1.bn.weight     False           16                 [16]      0.889      0.201 torch.float32
  140                 model.16.m.0.cv1.bn.bias     False           16                 [16]      0.088       1.32 torch.float32
  141             model.16.m.0.cv2.conv.weight     False         4608       [32, 16, 3, 3]   -0.00497     0.0517 torch.float32
  142               model.16.m.0.cv2.bn.weight     False           32                 [32]      0.997      0.278 torch.float32
  143                 model.16.m.0.cv2.bn.bias     False           32                 [32]      0.555       1.04 torch.float32
  144                     model.17.conv.weight     False        36864       [64, 64, 3, 3]   -0.00202     0.0441 torch.float32
  145                       model.17.bn.weight     False           64                 [64]      0.848      0.151 torch.float32
  146                         model.17.bn.bias     False           64                 [64]     -0.241       0.72 torch.float32
  147                 model.19.cv1.conv.weight     False        24576     [128, 192, 1, 1]   -0.00564     0.0491 torch.float32
  148                   model.19.cv1.bn.weight     False          128                [128]      0.791      0.247 torch.float32
  149                     model.19.cv1.bn.bias     False          128                [128]     -0.267      0.855 torch.float32
  150                 model.19.cv2.conv.weight     False        24576     [128, 192, 1, 1]   -0.00481     0.0511 torch.float32
  151                   model.19.cv2.bn.weight     False          128                [128]      0.959      0.224 torch.float32
  152                     model.19.cv2.bn.bias     False          128                [128]     -0.351       1.14 torch.float32
  153             model.19.m.0.cv1.conv.weight     False        18432       [32, 64, 3, 3]    -0.0039     0.0466 torch.float32
  154               model.19.m.0.cv1.bn.weight     False           32                 [32]      0.879      0.219 torch.float32
  155                 model.19.m.0.cv1.bn.bias     False           32                 [32]      0.263      0.898 torch.float32
  156             model.19.m.0.cv2.conv.weight     False        18432       [64, 32, 3, 3]   -0.00262     0.0473 torch.float32
  157               model.19.m.0.cv2.bn.weight     False           64                 [64]       1.22      0.267 torch.float32
  158                 model.19.m.0.cv2.bn.bias     False           64                 [64]     0.0368      0.871 torch.float32
  159                     model.20.conv.weight     False       147456     [128, 128, 3, 3]   -0.00225     0.0402 torch.float32
  160                       model.20.bn.weight     False          128                [128]       1.08      0.195 torch.float32
  161                         model.20.bn.bias     False          128                [128]     -0.195      0.747 torch.float32
  162                 model.22.cv1.conv.weight     False        98304     [256, 384, 1, 1]   -0.00447     0.0392 torch.float32
  163                   model.22.cv1.bn.weight     False          256                [256]      0.963      0.188 torch.float32
  164                     model.22.cv1.bn.bias     False          256                [256]     -0.571      0.753 torch.float32
  165                 model.22.cv2.conv.weight     False        98304     [256, 384, 1, 1]   -0.00622     0.0417 torch.float32
  166                   model.22.cv2.bn.weight     False          256                [256]       1.12      0.279 torch.float32
  167                     model.22.cv2.bn.bias     False          256                [256]     -0.696       1.04 torch.float32
  168             model.22.m.0.cv1.conv.weight     False         8192      [64, 128, 1, 1]   -0.00374     0.0396 torch.float32
  169               model.22.m.0.cv1.bn.weight     False           64                 [64]      0.366      0.137 torch.float32
  170                 model.22.m.0.cv1.bn.bias     False           64                 [64]     -0.109      0.609 torch.float32
  171             model.22.m.0.cv2.conv.weight     False         8192      [64, 128, 1, 1]   -0.00954     0.0319 torch.float32
  172               model.22.m.0.cv2.bn.weight     False           64                 [64]       1.04     0.0981 torch.float32
  173                 model.22.m.0.cv2.bn.bias     False           64                 [64]     -0.331      0.701 torch.float32
  174             model.22.m.0.cv3.conv.weight     False        16384     [128, 128, 1, 1]   -0.00712     0.0366 torch.float32
  175               model.22.m.0.cv3.bn.weight     False          128                [128]       1.21      0.307 torch.float32
  176                 model.22.m.0.cv3.bn.bias     False          128                [128]     -0.369      0.887 torch.float32
  177         model.22.m.0.m.0.cv1.conv.weight     False        36864       [64, 64, 3, 3]   -0.00399      0.035 torch.float32
  178           model.22.m.0.m.0.cv1.bn.weight     False           64                 [64]      0.974      0.197 torch.float32
  179             model.22.m.0.m.0.cv1.bn.bias     False           64                 [64]     -0.589      0.843 torch.float32
  180         model.22.m.0.m.0.cv2.conv.weight     False        36864       [64, 64, 3, 3]   -0.00222     0.0353 torch.float32
  181           model.22.m.0.m.0.cv2.bn.weight     False           64                 [64]       1.04       0.28 torch.float32
  182             model.22.m.0.m.0.cv2.bn.bias     False           64                 [64]      0.118      0.939 torch.float32
  183         model.22.m.0.m.1.cv1.conv.weight     False        36864       [64, 64, 3, 3]   -0.00533     0.0317 torch.float32
  184           model.22.m.0.m.1.cv1.bn.weight     False           64                 [64]      0.989      0.264 torch.float32
  185             model.22.m.0.m.1.cv1.bn.bias     False           64                 [64]     -0.524      0.787 torch.float32
  186         model.22.m.0.m.1.cv2.conv.weight     False        36864       [64, 64, 3, 3]   -0.00309     0.0322 torch.float32
  187           model.22.m.0.m.1.cv2.bn.weight     False           64                 [64]        1.4      0.366 torch.float32
  188             model.22.m.0.m.1.cv2.bn.bias     False           64                 [64]      0.389      0.769 torch.float32
  189             model.23.cv2.0.0.conv.weight     False        36864       [64, 64, 3, 3]   -0.00471     0.0359 torch.float32
  190               model.23.cv2.0.0.bn.weight     False           64                 [64]      0.941      0.197 torch.float32
  191                 model.23.cv2.0.0.bn.bias     False           64                 [64]     -0.597      0.628 torch.float32
  192             model.23.cv2.0.1.conv.weight     False        36864       [64, 64, 3, 3]   -0.00409     0.0372 torch.float32
  193               model.23.cv2.0.1.bn.weight     False           64                 [64]       2.62      0.472 torch.float32
  194                 model.23.cv2.0.1.bn.bias     False           64                 [64]      0.424      0.587 torch.float32
  195                  model.23.cv2.0.2.weight     False         4096       [64, 64, 1, 1]    -0.0298     0.0864 torch.float32
  196                    model.23.cv2.0.2.bias     False           64                 [64]       1.01      0.699 torch.float32
  197             model.23.cv2.1.0.conv.weight     False        73728      [64, 128, 3, 3]   -0.00368     0.0364 torch.float32
  198               model.23.cv2.1.0.bn.weight     False           64                 [64]       1.03       0.26 torch.float32
  199                 model.23.cv2.1.0.bn.bias     False           64                 [64]     -0.531      0.651 torch.float32
  200             model.23.cv2.1.1.conv.weight     False        36864       [64, 64, 3, 3]   -0.00473     0.0397 torch.float32
  201               model.23.cv2.1.1.bn.weight     False           64                 [64]        2.7      0.613 torch.float32
  202                 model.23.cv2.1.1.bn.bias     False           64                 [64]      0.483      0.534 torch.float32
  203                  model.23.cv2.1.2.weight     False         4096       [64, 64, 1, 1]     -0.037      0.103 torch.float32
  204                    model.23.cv2.1.2.bias     False           64                 [64]      0.875      0.891 torch.float32
  205             model.23.cv2.2.0.conv.weight     False       147456      [64, 256, 3, 3]    -0.0022     0.0303 torch.float32
  206               model.23.cv2.2.0.bn.weight     False           64                 [64]       1.28      0.279 torch.float32
  207                 model.23.cv2.2.0.bn.bias     False           64                 [64]     -0.552      0.676 torch.float32
  208             model.23.cv2.2.1.conv.weight     False        36864       [64, 64, 3, 3]   -0.00482     0.0334 torch.float32
  209               model.23.cv2.2.1.bn.weight     False           64                 [64]       2.81      0.585 torch.float32
  210                 model.23.cv2.2.1.bn.bias     False           64                 [64]      0.445       0.68 torch.float32
  211                  model.23.cv2.2.2.weight     False         4096       [64, 64, 1, 1]    -0.0424     0.0913 torch.float32
  212                    model.23.cv2.2.2.bias     False           64                 [64]      0.487       1.21 torch.float32
  213           model.23.cv3.0.0.0.conv.weight     False          576        [64, 1, 3, 3]    0.00578      0.041 torch.float32
  214             model.23.cv3.0.0.0.bn.weight     False           64                 [64]      0.649      0.209 torch.float32
  215               model.23.cv3.0.0.0.bn.bias     False           64                 [64]      0.356      0.969 torch.float32
  216           model.23.cv3.0.0.1.conv.weight     False         4096       [64, 64, 1, 1]   -0.00122     0.0412 torch.float32
  217             model.23.cv3.0.0.1.bn.weight     False           64                 [64]      0.893      0.154 torch.float32
  218               model.23.cv3.0.0.1.bn.bias     False           64                 [64]      -0.53       1.06 torch.float32
  219           model.23.cv3.0.1.0.conv.weight     False          576        [64, 1, 3, 3]   -0.00352     0.0478 torch.float32
  220             model.23.cv3.0.1.0.bn.weight     False           64                 [64]      0.935      0.276 torch.float32
  221               model.23.cv3.0.1.0.bn.bias     False           64                 [64]      -0.33       1.02 torch.float32
  222           model.23.cv3.0.1.1.conv.weight     False         4096       [64, 64, 1, 1]   -0.00469     0.0385 torch.float32
  223             model.23.cv3.0.1.1.bn.weight     False           64                 [64]       1.39      0.329 torch.float32
  224               model.23.cv3.0.1.1.bn.bias     False           64                 [64]      0.316       1.47 torch.float32
  225                  model.23.cv3.0.2.weight     False          256        [4, 64, 1, 1]    -0.0259      0.141 torch.float32
  226                    model.23.cv3.0.2.bias     False            4                  [4]      -10.3      0.146 torch.float32
  227           model.23.cv3.1.0.0.conv.weight     False         1152       [128, 1, 3, 3]    0.00124     0.0444 torch.float32
  228             model.23.cv3.1.0.0.bn.weight     False          128                [128]      0.848      0.207 torch.float32
  229               model.23.cv3.1.0.0.bn.bias     False          128                [128]      0.124      0.867 torch.float32
  230           model.23.cv3.1.0.1.conv.weight     False         8192      [64, 128, 1, 1]   0.000712     0.0405 torch.float32
  231             model.23.cv3.1.0.1.bn.weight     False           64                 [64]      0.914      0.129 torch.float32
  232               model.23.cv3.1.0.1.bn.bias     False           64                 [64]     -0.476      0.986 torch.float32
  233           model.23.cv3.1.1.0.conv.weight     False          576        [64, 1, 3, 3]    -0.0023     0.0475 torch.float32
  234             model.23.cv3.1.1.0.bn.weight     False           64                 [64]      0.909      0.266 torch.float32
  235               model.23.cv3.1.1.0.bn.bias     False           64                 [64]     -0.182       1.18 torch.float32
  236           model.23.cv3.1.1.1.conv.weight     False         4096       [64, 64, 1, 1]   -0.00469      0.043 torch.float32
  237             model.23.cv3.1.1.1.bn.weight     False           64                 [64]       1.58      0.624 torch.float32
  238               model.23.cv3.1.1.1.bn.bias     False           64                 [64]      0.773       1.59 torch.float32
  239                  model.23.cv3.1.2.weight     False          256        [4, 64, 1, 1]    -0.0725      0.168 torch.float32
  240                    model.23.cv3.1.2.bias     False            4                  [4]      -8.59      0.415 torch.float32
  241           model.23.cv3.2.0.0.conv.weight     False         2304       [256, 1, 3, 3]   -0.00922     0.0354 torch.float32
  242             model.23.cv3.2.0.0.bn.weight     False          256                [256]       0.92       0.22 torch.float32
  243               model.23.cv3.2.0.0.bn.bias     False          256                [256]    -0.0867        0.8 torch.float32
  244           model.23.cv3.2.0.1.conv.weight     False        16384      [64, 256, 1, 1]   -0.00131     0.0308 torch.float32
  245             model.23.cv3.2.0.1.bn.weight     False           64                 [64]       1.02      0.131 torch.float32
  246               model.23.cv3.2.0.1.bn.bias     False           64                 [64]     -0.406      0.838 torch.float32
  247           model.23.cv3.2.1.0.conv.weight     False          576        [64, 1, 3, 3]    -0.0114     0.0461 torch.float32
  248             model.23.cv3.2.1.0.bn.weight     False           64                 [64]       1.03      0.222 torch.float32
  249               model.23.cv3.2.1.0.bn.bias     False           64                 [64]     -0.195      0.918 torch.float32
  250           model.23.cv3.2.1.1.conv.weight     False         4096       [64, 64, 1, 1]   -0.00155     0.0373 torch.float32
  251             model.23.cv3.2.1.1.bn.weight     False           64                 [64]       1.69      0.714 torch.float32
  252               model.23.cv3.2.1.1.bn.bias     False           64                 [64]      0.823       1.88 torch.float32
  253                  model.23.cv3.2.2.weight     False          256        [4, 64, 1, 1]    -0.0625      0.134 torch.float32
  254                    model.23.cv3.2.2.bias     False            4                  [4]      -6.75      0.979 torch.float32
  255                 model.23.dfl.conv.weight     False           16        [1, 16, 1, 1]        7.5       4.76 torch.float32
  256             model.23.cv4.0.0.conv.weight     False        31104       [54, 64, 3, 3]   -0.00835      0.055 torch.float32
  257               model.23.cv4.0.0.bn.weight     False           54                 [54]       1.01       0.07 torch.float32
  258                 model.23.cv4.0.0.bn.bias     False           54                 [54]      0.399       1.07 torch.float32
  259             model.23.cv4.0.1.conv.weight     False        26244       [54, 54, 3, 3]   -0.00562     0.0586 torch.float32
  260               model.23.cv4.0.1.bn.weight     False           54                 [54]       1.01     0.0479 torch.float32
  261                 model.23.cv4.0.1.bn.bias     False           54                 [54]       0.16      0.939 torch.float32
  262                  model.23.cv4.0.2.weight     False         2916       [54, 54, 1, 1]    0.00363      0.138 torch.float32
  263                    model.23.cv4.0.2.bias     False           54                 [54]      0.387      0.728 torch.float32
  264             model.23.cv4.1.0.conv.weight     False        62208      [54, 128, 3, 3]   -0.00623     0.0534 torch.float32
  265               model.23.cv4.1.0.bn.weight     False           54                 [54]      0.993     0.0626 torch.float32
  266                 model.23.cv4.1.0.bn.bias     False           54                 [54]      0.272        1.2 torch.float32
  267             model.23.cv4.1.1.conv.weight     False        26244       [54, 54, 3, 3]   -0.00539     0.0606 torch.float32
  268               model.23.cv4.1.1.bn.weight     False           54                 [54]       1.04     0.0651 torch.float32
  269                 model.23.cv4.1.1.bn.bias     False           54                 [54]     -0.353      0.967 torch.float32
  270                  model.23.cv4.1.2.weight     False         2916       [54, 54, 1, 1]    0.00971      0.167 torch.float32
  271                    model.23.cv4.1.2.bias     False           54                 [54]      0.514      0.678 torch.float32
  272             model.23.cv4.2.0.conv.weight     False       124416      [54, 256, 3, 3]   -0.00259     0.0454 torch.float32
  273               model.23.cv4.2.0.bn.weight     False           54                 [54]          1     0.0506 torch.float32
  274                 model.23.cv4.2.0.bn.bias     False           54                 [54]      0.182       0.85 torch.float32
  275             model.23.cv4.2.1.conv.weight     False        26244       [54, 54, 3, 3]   -0.00434     0.0536 torch.float32
  276               model.23.cv4.2.1.bn.weight     False           54                 [54]       1.02     0.0589 torch.float32
  277                 model.23.cv4.2.1.bn.bias     False           54                 [54]     -0.127        1.1 torch.float32
  278                  model.23.cv4.2.2.weight     False         2916       [54, 54, 1, 1]     0.0135      0.174 torch.float32
  279                    model.23.cv4.2.2.bias     False           54                 [54]      0.709       0.94 torch.float32
YOLO11n-pose summary: 344 layers, 2,896,638 parameters, 0 gradients, 7.6 GFLOPs
(344, 2896638, 0, 7.6377024)
